klaeger_drugs,screen_drugs
Defactinib,"Defactinib (VS-6063, PF-04554878)"
AEW-541,NVP-AEW541
Afatinib,Afatinib (BIBW2992)
Dabrafenib,Dabrafenib (GSK2118436)
Alisertib,Alisertib (MLN8237)
Alisertib,MLN8237
Alvocidib,Flavopiridol (Alvocidib) HCl
AT-7519,AT7519
Lapatinib,Lapatinib (GW-572016) Ditosylate
Losmapimod,Losmapimod (GW856553X)
AZD-1208,AZD1208
AZD-2014,AZD2014
Barasertib_HQPA,Barasertib (AZD1152-HQPA)
BI-2536,BI 2536
Dinaciclib,Dinaciclib (SCH727965)
Cabozantinib,"Cabozantinib (XL184, BMS-907351)"
Crizotinib,Crizotinib (PF-02341066)
Silmitasertib,CX-4945 (Silmitasertib)
Danusertib,Danusertib (PHA-739358)
Dovitinib,"Dovitinib (TKI-258, CHIR-258)"
Erlotinib,Erlotinib HCl (OSI-744)
Fasudil,Fasudil (HA-1077) HCl
Gefitinib,Gefitinib (ZD1839)
Ibrutinib,Ibrutinib (PCI-32765)
Imatinib,Imatinib (STI571)
Imatinib,Imatinib Mesylate (STI571)
LY-2584702,LY2584702 Tosylate
Midostaurin,Midostaurin (PKC412)
MK-2206,MK-2206 2HCl
Neratinib,Neratinib (HKI-272)
Nintedanib,Nintedanib (BIBF 1120)
Omipalisib,"Omipalisib (GSK2126458, GSK458)"
Palbociclib,Palbociclib (PD-0332991) HCl
Pictilisib,Pictilisib (GDC-0941)
R-406,R406
Ruxolitinib,Ruxolitinib (INCB018424)
Selumetinib,Selumetinib (AZD6244)
SGI-1776,SGI-1776 free base
Sorafenib,Sorafenib Tosylate
Sunitinib,Sunitinib Malate
Tofacitinib,"Tofacitinib (CP-690550,Tasocitinib)"
Trametinib,Trametinib (GSK1120212)
Ulixertinib,"Ulixertinib (BVD-523, VRT752271)"
Vandetanib,Vandetanib (ZD6474)
Vatalanib,Vatalanib (PTK787) 2HCl
Vemurafenib,"Vemurafenib (PLX4032, RG7204)"
Volasertib,Volasertib (BI 6727)
Tozasertib,"VX-680 (Tozasertib, MK-0457)"
GSK-690693,GSK690693
SCH-900776,MK-8776 (SCH 900776)
Saracatinib,Saracatinib (AZD0530)
BYL-719,Alpelisib (BYL719)
